"4809 Glickman Avenue, Temple City, California 91780",8585-012-062,E25-49135,Electrical,"UPGRADE ELECTRICAL PANEL TO 200 AMP AND INSTALL EV-CHARGER ON THE GARAGE 14/50 AMP",$0,Finaled,05-05-2025,05-05-2025,"Up 4 U Construction Inc."
"10202 Randwick Drive, Temple City, California 91780",8585-005-004,E25-49136,Electrical,"UPGRADE SERVICE PANEL FROM 100 AMP TO 200 AMP AND INSTALL A 240V EV CHARGER OUTLET NEARBY THE MAIN PANEL",$0,Finaled,05-05-2025,05-05-2025,"JBL Electrical & Energy Inc."
"6277 Golden West Avenue, Temple City, California 91780",5385-021-005,E25-49137,Electrical,"UPGRADE SERVICE PANEL FROM 100 AMP TO 200 AMP AND INSTALL A 240V EV CHARGER OUTLET NEARBY THE MAIN PANEL",$0,Finaled,05-05-2025,05-05-2025,"JBL Electrical & Energy Inc."
"5752 Rowland Avenue, Temple City, California 91780",8587-034-014,E25-49144,Electrical,"W/ENERGY STORAGE AND SUB-PANEL",$0,Issued,05-05-2025,05-05-2025,"Freedom Forever Southern California LLC"
"9045 Hermosa Drive, Temple City, California 91780",5384-016-046,M25-49117,Mechanical,"VENTILATION FAN",$0,Issued,05-05-2025,05-05-2025,Owner-Builder
"5370 El Monte Avenue, Temple City, California 91780",8573-003-022,M25-49127,Mechanical,"VENTILATION FAN",$0,Issued,05-05-2025,05-05-2025,"G Tech Smart dba G Tech Smart Remodeling"
"9732 Olive Street, Temple City, California 91780",8589-003-032,M25-49133,Mechanical,"INSTALL 4 TON HVAC SYSTEM, AIR INLETS AND VENTILATION FAN",$0,Issued,05-05-2025,05-05-2025,"B X D Construction Inc."
"9045 Hermosa Drive, Temple City, California 91780",5384-016-046,P25-49118,Plumbing,"SHOWER, DISHWASHER, LAVATORY, SINK AND GAS OUTLET",$0,Issued,05-05-2025,05-05-2025,Owner-Builder
"5370 El Monte Avenue, Temple City, California 91780",8573-003-022,P25-49128,Plumbing,"SHOWER, LAVATORY AND WATER CLOSET",$0,Issued,05-05-2025,05-05-2025,"G Tech Smart dba G Tech Smart Remodeling"
"9732 Olive Street, Temple City, California 91780",8589-003-032,P25-49134,Plumbing,"KITCHEN REMODEL REPLACE DISHWASHER AND SINK",$0,Issued,05-05-2025,05-05-2025,"B X D Construction Inc."
"5648 Cambury Avenue Unit B, Temple City, California 91780",8588-013-003,B25-48371,Building,"CONVERT EXISTING WORKSHOP 343 SQ.FT. ADD 456 SQ.FT. INTO 799 SQ.FT. ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, KITCHEN AND LIVING ROOM","$110,000",Issued,01-23-2025,05-06-2025,"Y W Rising Builder Inc."
"9229 Key West Street, Temple City, California 91780",8590-027-017,B25-49025,Building,"INSTALL (AGGREGATE ESS 9.7 KWH * 1 = 9.7 KWH) (19) ROOF MOUNTED PV SOLAR MODULES, (1) SOLAREDGE HOME HUB SE7600H-US INVERTER (S) (240V). (19) DC/DC OPTIMIZERS. (1) SOLAREDGE HOME BATTERY (BAT-10K1PSOB-02) (UNIT: 9.7KWH). ESS SYSTEM","$10,000",Finaled,04-22-2025,05-06-2025,"Gaps Invest Inc. dba Sun & Power"
"6015 Encinita Avenue, Temple City, California 91780",5384-013-024,B25-49028,Building,"INSTALL ROOF MOUNTED PV SYSTEM 11.89 KW, (29) MODULES (2) TESLA POWERWALL ESS & (1) 125A LOAD CENTER",$0,Issued,04-22-2025,05-06-2025,"Tesla Energy Operations Inc."
"10233 Green Street, Temple City, California 91780",8585-005-022,B25-49069,Building,"5.135KWDC (STC) ROOF MOUNTED PV SYSTEM (13) SOLAR PANELS WITH (1) TESLA POWERWALL 3","$32,000",Issued,04-28-2025,05-06-2025,"EJ Construction"
"5946 Avon Avenue, San Gabriel, California 91775",5386-012-047,B25-49150,Building,"TEAR OFF ROOF ON HOUSE 15 SQUARES. INSTALL NEW SYNTHETIC UNDERLAYMENT AND HAND NAIL LIFETIME CLASS ""A"" SHINGLES PITCH IS 5:12","$12,000",Issued,05-06-2025,05-06-2025,"Rexway Roofing Inc."
"5946 Avon Avenue, San Gabriel, California 91775",5386-012-047,B25-49151,Building,"TEAR OFF ROOF ON DETACHED GARGE 5 SQUARES. INSTALL NEW SYNTHETIC UNDERLAYMENT AND HAND NAIL LIFETIME CLASS ""A"" SHINGLES PITCH IS 5:12",$4000,Issued,05-06-2025,05-06-2025,"Rexway Roofing Inc."
"9569 Broadway Apt 1 - 8 , Temple City, California 91780",8588-005-050,B25-49153,Building,"TEAR OFF AND RE-ROOF INSTALL NEW PLYWOOD AND INSTALL SHINGLES","$28,000",Finaled,05-06-2025,05-06-2025,"Alt Roofing, Inc."
"6007 Primrose Avenue, Temple City, California 91780",5385-007-011,B25-49155,Building,"TEAR OFF EXISTING DETACHED GARAGE. INSTALL USB RADIANT AND 30 YEAR SHINGLES 5 SQUARES (GARAGE ONLY)",$4500,Finaled,05-06-2025,05-06-2025,"Golden West Roofing Services Inc."
"9229 Key West Street, Temple City, California 91780",8590-027-017,E25-49026,Electrical,"(1) SOLAREDGE HOME BATTERY (BAT-10K1PSOB-02) (UNIT: 9.7KWH). ESS SYSTEM",$0,Finaled,04-22-2025,05-06-2025,"Gaps Invest Inc. dba Sun & Power"
"6015 Encinita Avenue, Temple City, California 91780",5384-013-024,E25-49029,Electrical,"(2) TESLA POWERWALL ESS & (1) 125A LOAD CENTER",$0,Issued,04-22-2025,05-06-2025,"Tesla Energy Operations Inc."
"10233 Green Street, Temple City, California 91780",8585-005-022,E25-49070,Electrical,"(1) TESLA POWERWALL 3",$0,Issued,04-28-2025,05-06-2025,"EJ Construction"
"5648 Cambury Avenue Unit B , Temple City, California 91780",8588-013-003,E25-49138,Electrical,"(64) OUTLETS, (24) LIGHT FIXTURES, FAU/AC UNITS, RANGE HOOD, WASHING MACHINE, EXHAUST FANS WITH SUB-PANEL 100 AMP FOR THE DETACHED ACCESSORY DWELLING UNIT",$0,Issued,05-05-2025,05-06-2025,"Y W Rising Builder Inc."
"9020 Acaso Drive Unit B , Temple City, California 91780",5388-021-017,E25-49147,Electrical,"(12) BRANCH CIRCUITS, (22) OUTLETS, (14) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FANS, AC UNITS AND UPGRADE EXISTING 100 AMP ELECTRICAL PANEL TO 300 AMP DUAL GANG PANEL. 200 AMP FOR THE EXISTING MAIN HOUSE AND 100 AMP FOR THE ACCESSORY DWELLING UNIT",$0,Issued,05-06-2025,05-06-2025,"Dui Dui Inc."
"5622 Temple City Boulevard, Temple City, California 91780",8588-008-005,E25-49152,Electrical,"INSTALL (2) 100 AMP SUB-PANELS",$0,Finaled,05-06-2025,05-06-2025,"Electrowave Inc."
"5648 Cambury Avenue Unit B , Temple City, California 91780",8588-013-003,M25-49139,Mechanical,"INSTALL (1) MINI SPLIT SYSTEM AND VENTILATION FANS FOR THE DETACHED ACCESSORY DWELLING UNIT",$0,Issued,05-05-2025,05-06-2025,"Y W Rising Builder Inc."
"9020 Acaso Drive Unit B , Temple City, California 91780",5388-021-017,M25-49148,Mechanical,"INSTALL (2) MINI SPLIT SYSTEMS AND VENTILATION FANS FOR THE DETACHED ACCESSORY DWELLING UNIT",$0,Issued,05-06-2025,05-06-2025,"Dui Dui Inc."
"5648 Cambury Avenue, Temple City, California 91780",8588-013-003,MISC25-49141,Miscellaneous,"TO VERIFY COMPLIANCE: RESTORED THE NON-PERMITTED LIVING SPACE CONVERTED FROM THE GARAGE (715 SQ.FT.) BACK TO THE ORIGINAL SAME SIZE GARAGE",$0,Issued,05-05-2025,05-06-2025,"Y W Rising Builder Inc."
"5648 Cambury Avenue Unit B , Temple City, California 91780",8588-013-003,P25-49140,Plumbing,"SHOWERS, CLOTHES WASHER, LAVATORIES, SINK, WATER CLOSETS, WATER HEATER, GAS OUTLET, WATER MAIN AND CONNECT DETACHED ACCESSORY DWELLING UNIT TO PUBLIC SEWER",$0,Issued,05-05-2025,05-06-2025,"Y W Rising Builder Inc."
"9020 Acaso Drive Unit B, Temple City, California 91780",5388-021-017,P25-49149,Plumbing,"BATHTUB/SHOWER, DISHWASHER, CLOTHES WASHER, HOSE BIBB, LAVATORIES, SINK, PRESSURE REGULATOR, WATER CLOSETS, WATER HEATER, GAS OUTLETS, WATER MAIN AND CONNECT DETACHED ACCESSORY DWELLING UNIT TO PUBLIC SEWER",$0,Issued,05-06-2025,05-06-2025,"Dui Dui Inc."
"10541 Olive Street, Temple City, California 91780",8586-029-039,P25-49154,Plumbing,"REPLACE WATER MAIN",$0,Finaled,05-06-2025,05-06-2025,"Topete's Plumbing"
"5516 Mcculloch Avenue Unit A-B , Temple City, California 91780",8573-013-033,B24-46810,Building,"CONVERT FROM EXISTING 440 SQ.FT. ATTACHED 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT: ONE BEDROOM, ONE BATHROOM, KITCHEN AND FRONT PORCH","$44,651.2",Issued,05-23-2024,05-07-2025,Owner-Builder
"9324 Lower Azusa Road, Temple City, California 91780",8592-003-051,B25-49114,Building,"ONE SET OF ILLUMINATED CHANNEL LETTERS WALL SIGN ""7 DAY ROOFING",$3000,Issued,05-05-2025,05-07-2025,"Nanjing Corp dba Sign Art Co."
"5439 Baldwin Avenue, Temple City, California 91780",8588-019-021,B25-49158,Building,"TEAR OFF AND RE-ROOF WITH GAF TIMBERLINE HDZ REFLECTORS PLUS COOL ROOF AGE SRI 21","$11,387",Finaled,05-07-2025,05-07-2025,"Neighborhood Roofing"
"9933 Workman Avenue, Temple City, California 91780",8587-030-024,B25-49159,Building,"VOLUNTARY FOUNDATION RETROFIT LADBS STANDARD PLAN DETAIL #7",$2900,Issued,05-07-2025,05-07-2025,"White Oak Construction"
