permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-6968,Check,"Building Permit With Plan Check",11/13/2025,,"42189 Leeward Rd Sea Ranch [SEA]",156-570-034,$3085.14,,"NEW SFD - 1927 SF / GARAGE - 383 SF / COV PORCH - 264 SF / DECK - 50 SF (GH) New one-story single-family residence"
BLD25-6975,,"Plan Check",11/13/2025,,"8835 Brown Ave Kenwood [KEN]",050-175-026,$2583.84,,"SFD, Addition (320 SF), Remodel (1,162 SF), Cov'd Porch (110 SF) Reduce the garage size, new electrical throughout (459 SF) Proposed remodel and addition of an existing 1,162 sq ft single story, 3- bedroom, 1.5-bathroom SFD. The proposed addition of 320 sq ft is concentrated at the front gable and back right corner under the existing roof framing. The proposed plans for remodel and addition result in a single story, 3 bedroom, 2-bathroom SFD with existing 2-car garage."
BLD25-6977,"Awaiting Applicant Response","Building Permit With Plan Check",11/14/2025,,"2131 Joy Ridge Rd Occidental [OCC]",073-330-037,$0.00,$0.00,"SFD, Addition 1247 SF of a primary bedroom/bathroom and remodel updating"
BLD25-6979,Issued,"Building Permit With Plan Check",11/14/2025,11/19/2025,"7233 Malone Rd Forestville [FOR]",083-020-057,$629.25,,"SFD_Roof-mount PV 8.28kW DC and ESS 15kWh AC."
BLD25-6983,"Resubmittal Requested","Building Permit With Plan Check",11/14/2025,,"7366 Baker Ln Twin Hills [TWI]",076-100-034,$0.00,$4961.44,"AS-BUILT - LEGALIZE EXISTING 176 S.F. UNPERMITTED PUMPHOUSE PER CORRECTION NOTICE ISSUED 10/24/25 BY ROBERT HYNES FOR PERMIT #BLD25-6021"
BLD25-6985,Check,"Building Permit With Plan Check",11/14/2025,,"4981 Canfield Hill Ln Sebastopol [SEB]",025-120-008,$772.65,$7007.88,"REBUILD BACK DECKS. REBUILD FRONT BALCONY & EXTERIOR GARBAGE STORAGE BELOW"
BLD25-6986,Check,"Building Permit With Plan Check",11/14/2025,,"904 Fitch View Ln Windsor [WIN]",086-150-049,$1413.98,$13089.60,"(N) 1134 SF Double-wide Manufactured SFD (42'x27'), (2x) 16 SF Decks, (2x) 24 SF Decks new manufactured SFD"
BLD25-6987,"Awaiting Applicant Response","Building Permit With Plan Check",11/14/2025,,"1170 Kinnybrook Dr Kenwood [KEN]",051-230-005,$0.00,$0.00,"Res, New California frame over existing valleys, remove (E) concrete tile roofing, and re-roof with standing seam metal roofing."
BLD25-6988,Issued,"Building Permit With Plan Check",11/14/2025,11/18/2025,"805 San Domingo Dr Santa Rosa [SRO]",044-172-024,$524.91,,"SFD, Roof Mount Solar Panel Install PV 10 modules; 4.1kW; with (1) ESS."
BLD25-6991,Issued,"Building Permit With Plan Check",11/14/2025,11/19/2025,"3999 Roblar Rd Sebastopol [SEB]",024-031-053,$629.25,,"SFD, Roof Mount Solar Panel Install 8.6kW PV (20 panels), (2) Tesla Powerwall 3 (27 kwh) batteries"
BLD25-6995,"Awaiting Applicant Response","Building Permit With Plan Check",11/14/2025,,"7800 Occidental Rd Graton [GRA]",130-261-029,$0.00,$0.00,"***Due 12/1*** Two car detached carport"
BLD25-7000,Issued,"Building Permit With Plan Check",11/14/2025,11/19/2025,"930 Clover Dr Santa Rosa [SRO]",037-032-002,$454.00,$0.00,"Roof-mount PV 6.9kW DC (11.4kW AC)"
BLD25-7001,Issued,"Building Permit With Plan Check",11/14/2025,11/21/2025,"792 Foreman Ln Healdsburg [HEA]",110-080-003,$454.00,$0.00,"SFD_Roof-mount PV 10.66kW DC"
BLD25-7002,,"Plan Check",11/14/2025,,"440 Aviation Blvd Santa Rosa [SRO]",059-350-091,$15385.89,,"COMMERCIAL REROOF (METAL ROOFING)- REMOVE/REINSTALL HVAC THE PROJECT GENERALLY CONSISTS OF the REROOFING THE EXISTING LOW SLOPED AND STEEP SLOPED METAL ROOFING; REPLACING ALL ROOF CAPS / VENTS, MECHANICAL EQUIPMENT, AND CURBS; INSTALLATION OF FIXED ACCESS LADDERS AND ROOF HATCH; REPAINTING THE BUILDING EXTERIOR; AND ALL ASSOCIATED INCIDENTAL WORK."
BLD25-7005,Issued,"Building Permit With Plan Check",11/16/2025,11/20/2025,"1061 Tilton Rd Twin Hills [TWI]",077-060-048,$629.25,,"SFD, Roof Mount PV Install 11.745kW with (2) 13.5 kWh (27kWh total) Backup Battery"
BLD25-7006,Issued,"Building Permit With Plan Check",11/16/2025,11/19/2025,"970 Laurel Ave Agua Caliente [AGU]",052-362-028,$629.25,,"SFD, Roof Mount Solar Panel Install 5.2 kW PV, ESS 20kW, reinstall 3.36kW (E) PV NEW ROOFTOP SOLAR WITH MICROINVERTERS,"
BLD25-7007,"Awaiting Applicant Response","Building Permit With Plan Check",11/16/2025,,"9850 River Rd Forestville [FOR]",082-141-003,$0.00,$0.00,"Reinforce existing deck to accommodate a hot tub. Structural engineering has been done by Johnson, Debois & Forrest."
BLD25-7008,"Resubmittal Received","Building Permit With Plan Check",11/17/2025,,"601 Pleasant Hill Rd Twin Hills [TWI]",076-060-005,$0.00,,"Main house and Cottage, Roof Top PV System, Total System is less than 10 KW Roof Top PV System For Main house in Cottage . Total System is less than 10 KW"
BLD25-7009,Issued,"Building Permit With Plan Check",11/17/2025,11/21/2025,"1029 Yuba Dr Bellevue [BEL]",134-022-013,$629.25,,"Res, Roof Mount Solar Panel Install 12.2kW PV, ESS 20kWh, enphase microinverters and battery system, no DC circut - on Detached Garage"
BLD25-7010,Issued,"Building Permit With Plan Check",11/17/2025,11/25/2025,"2125 Curtis Dr Penngrove [PEN]",047-273-043,$479.10,,"SFD, Install Battery 10kWh enphase, meter collar and enphase solar combiner box"
BLD25-7011,Issued,"Building Permit With Plan Check",11/17/2025,11/19/2025,"84 Compass Close Sea Ranch [SEA]",122-400-024,$374.76,,"INSTALL NEW 10 KILOWATT HOUR ENPHASE BATTERY AND METER COLLAR ON HOME AND INTEGRATE WITH EXISTING RECENTLY INSTALLED SOLAR SYSTEM"
BLD25-7015,Check,"Building Permit With Plan Check",11/17/2025,,"616 Forest Dr Twin Hills [TWI]",077-100-015,$944.30,,"Res. Ground Mount 5.22 kW PV Solar Replacement on Existing Racking System. No change to Existing Structure. 32 kWh Battery Storage Installation."
BLD25-7016,Check,"Building Permit With Plan Check",11/17/2025,,"16880 Coleman Valley Rd Occidental [OCC]",074-170-037,$2145.70,$48330.90,"VBU25-0262: Existing Unconditioned Art Studio (320 SF), Deck (465 SF), Cov'd Porch (180 SF) Legalize existing unconditioned art studio (VBU25-0262)"
BLD25-7017,Check,"Building Permit With Plan Check",11/17/2025,,"16880 Coleman Valley Rd Occidental [OCC]",074-170-037,$1527.52,$33546.10,"VBU25-0261: Existing Utility Barn (1,190 SF) legalize existing utility barn (VBU25-0261)"
BLD25-7018,Issued,"Building Permit With Plan Check",11/17/2025,11/21/2025,"4233 Browns Ln Petaluma [PET]",068-010-016,$734.25,,"(N) 22kW Roof-mount PV System on barn w/ 81kWh ESS tying in to (E) 6kW PV System. Includes 220 ft. trench from meter to barn and 115 ft. trench from meter to concrete pad 4233 Browns Lane - Install 22 kW PV system on roof of barn structure and 81 kWh energy storage system (ESS). Includes 220 ft trench from meter to barn structure and 115 ft trench from meter to concrete pad."
BLD25-7019,Check,"Building Permit With Plan Check",11/17/2025,,"2684 Guerneville Rd Santa Rosa [SRO]",034-110-045,$940.24,$13192.92,"Tractor Shed 468 SF, permit to resolve (VBU25-0302)"
BLD25-7020,Check,"Building Permit With Plan Check",11/17/2025,,"2684 Guerneville Rd Santa Rosa [SRO]",034-110-045,$731.85,$5949.72,"Pergola 252 SF, permit to resolve (VBU25-0301)"
BLD25-7022,Check,"Building Permit With Plan Check",11/17/2025,,"2915 Pepper Rd Two Rock [TWO]",022-100-034,$2630.19,,"Dairy: Compost Storage Barn 40 x100 = (4,000 SF) This project proposes the installation of a engineering building, roof-only metal agricultural structure to be used as a Compost Storage Barn in support of existing agricultural operations on the property. The structure will provide covered protection for the temporary storage, curing, and management of on- site generated compost materials consistent with permitted agricultural activities within Sonoma County."
BLD25-7024,Issued,"Building Permit With Plan Check",11/17/2025,11/20/2025,"4450 La Paz Ln Bennett Valley [BEN]",049-630-009,$479.10,,"ESS 16.14kWh AC to tie in with existing PV."
BLD25-7027,Check,"Building Permit With Plan Check",11/17/2025,,"4002 Old Barn Rd Healdsburg [HEA]",088-240-028,$464.72,$8321.55,"SFD Interior Remodel (145 SF) to Convert Family Room to Bedroom #4"
BLD25-7029,,"Plan Check",11/17/2025,,"5696 McFarlane Rd Twin Hills [TWI]",062-021-061,$1336.28,$54018.72,"Conversion of existing unconditioned accessory structure into a conditioned art studio with a bathroom ( 504 SF)"
BLD25-7033,Issued,"Building Permit With Plan Check",11/17/2025,11/24/2025,"19190 Orange Ave Agua Caliente [AGU]",052-371-033,$629.25,,"SFD - (N) 6.15kW Roof-mount PV Array w/ 27kWh ESS tying into (E) 4.32kW PV System Install (15) roof mount solar panels at 6.15 kW and 2 batteries. 1 EV charger"
BLD25-7037,Check,"Building Permit With Plan Check",11/17/2025,,"8950 Old Redwood Hwy Cotati [COT]",046-233-010,$1158.64,$16914.00,"New Detached 2-Car Garage (600 SF) - New SFD under BLD25-6915"
BLD25-7038,"Awaiting Applicant Response","Building Permit With Plan Check",11/17/2025,,"4121 Chico Ave Bellevue [BEL]",035-071-047,$0.00,$0.00,"Addition and remodel of existing as built ADU, that catch fire in the front of the porch. remove and replace all drywall, electrical plumbing, kitchen, bathroom, doors and windows."
BLD25-7039,"Awaiting Applicant Response","Building Permit With Plan Check",11/18/2025,,"5797 Hwy 128 Geyserville [GEY]",131-100-019,$0.00,$7862.13,"(F2) New Deck Cover to (E) detached Deck 333 SF"
BLD25-7040,"Awaiting Applicant Response","Building Permit With Plan Check",11/18/2025,,"4183 Old Vineyard Ln Mark West Springs [MWS]",029-250-017,$0.00,$0.00,"EVT17-04406 New Pool House, 332 SF with cov'd patio 452 SF"
BLD25-7041,"Awaiting Applicant Response","Building Permit With Plan Check",11/18/2025,,"291 Buckeye Sea Ranch [SEA]",156-600-043,$0.00,$0.00,"NEW CONSTRUCTION OF A SINGLE FAMILY RESIDENCE WITH 1,000 SF OF LIVING SPACE AND AN ATTACHED SINGLE CAR GARGE."
BLD25-7042,Issued,"Building Permit With Plan Check",11/18/2025,11/20/2025,"1134 RUNGE Ln Petaluma [PET]",048-051-034,$629.25,,"SFD, Roof-mount PV 3.92kW DC (3.14kW AC) and ESS 10.00kWh AC."
BLD25-7054,"Awaiting Applicant Response","Building Permit With Plan Check",11/18/2025,,"1325 Austin Creek Rd Guerneville [GUE]",097-060-026,$0.00,$0.00,"Interior renovation of an existing single family residence. Reconfiguring of the interior partitions, addition of a (N) office, bathroom and WC. Partial remodel of the kitchen. (N) windows as drawn, including 2 (N) skylights. Partial removal and replacement of garage roof."
BLD25-7055,Check,"Building Permit With Plan Check",11/18/2025,,"100 Sparkes Rd Twin Hills [TWI]",063-011-027,$1887.62,$21975.90,"NEW HUD HCD APPROVED 1600 SF MFR HOME / 514 SF DECKS / 42 SF PORCH New HUD-HCD approved 1,600 sq ft manufactured home as a Single Family Dwelling. There is a new septic system (SEP25-0210). Separate encroachment permit will be applied for, along with a waiver of covered parking. Thank you."
BLD25-7058,Check,"Building Permit With Plan Check",11/19/2025,,"970 Thompson Ln Petaluma [PET]",021-130-091,$1066.82,$21649.92,"Res - (N) 768 SF (24'x32') Metal Barn. No electrical or plumbing. This project is to build a new metal barn 24' x 32' (768sqft). There is no electrical and no plumbing."
BLD25-7059,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"14154 Arnold Dr Glen Ellen [GLE]",054-070-040,$0.00,$0.00,"11/25 wrong type of permit applied for. Chase Coordinate with PGE to cap gas line at street and build new electrical panel board"
BLD25-7063,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"7260 Grove Ct Sonoma [SON]",064-260-008,$0.00,$0.00,"Remodel Kitchen including: new cabinets, new flooring tile, some new drywall, new appliances, new gas line to range, change 1 window size, move some electrical switches"
BLD25-7071,Check,"Building Permit With Plan Check",11/19/2025,,"2501 Geysers Rd Geyserville [GEY]",131-030-006,$1495.96,$62102.57,"EVT19-02288 New Barn/Shop Building (2,203 SF) in Same Location as Previous Secondary SFD Destroyed in 2019 Kincade Fire"
BLD25-7078,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"18375 Neeley Rd Forestville [FOR]",071-260-037,$0.00,$0.00,"Foundation Repair, REPLACEMENT OF (E) CRAWLSPACE POST W (N) WOOD POST (24 TOTAL) RESTING ON (N) CONCRETE SPREAD FOOTINGS W (N) WOOD BRACING. INSTALLATIONS DOES NOT AFFECT THE EXTERIOR APPEARANCE OF THE STRUCTURE"
BLD25-7079,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"8965 Valley Ford Rd Two Rock [TWO]",027-250-009,$0.00,$0.00,"Installation of professionally engineered and installed carport that is 18' wide x 50' long x 14' tall. This will be installed on top of and anchored into a new 4"" thick concrete slab. Currently underneath that is 8-12"" of road base that has been professionally compacted and in place for almost a year."
BLD25-7081,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"725 Austin Creek Rd Guerneville [GUE]",097-070-013,$0.00,$0.00,"(N) (02) FRANKLINWH APOWER 2 (APR-10K15V1-US)(SI1-SB) (N) (01) FRANKLINWH AGATE (AGT-R1V1-US)(CRD-PCS NON-EXPORT) (N) (01) LOCKABLE DISCONNECT SWITCH (IMO SI16-PEL64R-2)"
BLD25-7082,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"22135 Amanita Cir Timber Cove [TIM]",109-380-007,$0.00,,"New SFD (1,112 SF) with Covered Porch (107 SF) & Decking (257 SF)"
BLD25-7084,"Awaiting Applicant Response","Building Permit With Plan Check",11/19/2025,,"5015 Warm Springs Rd Glen Ellen [GLE]",054-240-005,$0.00,$0.00,"EVT17-05403 Rebuild 1-Story 1,352 SF SFD, 192 SF Attached Garage 2017 Sonoma Complex Fire 2017 COMPLEX FIRE 1,352 SQ FT NEW SINGLE FAMILY DWELLING WITH 192 SQ FT ATTACHED CARPORT. PERMIT FOR 240 SQ FT DETACHED CARPORT TO BE SUBMITTED SEPARATELY."
BLD25-7085,"Awaiting Applicant Response","Building Permit With Plan Check",11/20/2025,,"5015 Warm Springs Rd Glen Ellen [GLE]",054-240-005,$0.00,$0.00,"EVT17-05403 (N) 240 SF (12'x20') Detached Sonoma County Standard Carport Design 2017 COMPLEX FIRE NEW 240 SQ FT DETACHED CARPORT PER SONOMA COUNTY PRMD STANDARD CARPORT DESIGN."
BLD25-7086,"Resubmittal Requested","Building Permit With Plan Check",11/20/2025,,"1460 High School Rd Graton [GRA]",060-303-011,$0.00,$0.00,"SFD, Roof Mount Solar Panel Install 3.08kW PV addition to (E) PV, (7) Solar Modules, (7) Micro Inverter, (1) Combiner, AC Disconnect, Load Center"
BLD25-7090,Issued,"Building Permit With Plan Check",11/20/2025,11/26/2025,"1700 CARRIGER HILLS Ln Glen Ellen [GLE]",133-220-004,$629.25,,"SFD, Roof Mount Solar Panel Instal 11.31kW DC PV, ESS 27kWh BESS installation"
BLD25-7092,"Awaiting Applicant Response","Building Permit With Plan Check",11/20/2025,,"1530 WILLOWSIDE Rd 2 Santa Rosa [SRO]",034-072-055,$0.00,$0.00,"Remodel (E) ADU, remove to convert back to original accessory structure BLD13-3474, VBU25-0389"
BLD25-7097,Issued,"Building Permit With Plan Check",11/20/2025,11/24/2025,"4400 Todd Rd Sebastopol [SEB]",060-070-011,$629.25,,"SFD, Roof Mount solar modules, DC system size 5.39kW PV, 2 X enphase battery,"
BLD25-7099,"Awaiting Applicant Response","Building Permit With Plan Check",11/20/2025,,"20364 Hill St Monte Rio [MRO]",094-122-005,$0.00,$0.00,"Retaining Wall to clear Yellow Tab associated with EVT25-00008"
BLD25-7102,"Awaiting Applicant Response","Building Permit With Plan Check",11/20/2025,,"8989 Graton Rd Graton [GRA]",130-162-007,$0.00,$0.00,"Tenant improvement, convert existing building to yoga studio. Removing 2 walls, square footage 1350."
BLD25-7104,Issued,"Building Permit With Plan Check",11/20/2025,11/24/2025,"230 Davis Ln Penngrove [PEN]",047-232-004,$629.25,,"SFD_8 Solar Roof modules, DC system size 3.32kW,INSTALLING 1X ENPHASE TOU BATTERY 5P"
BLD25-7105,Issued,"Building Permit With Plan Check",11/20/2025,11/25/2025,"9428 Chalk Hill Rd Windsor [WIN]",079-220-010,$629.25,,"SFD, Roof mount solar Install 10.75kW PV, ESS 13.5kWh"
BLD25-7106,Issued,"Building Permit With Plan Check",11/20/2025,11/25/2025,"1488 Furlong Rd Twin Hills [TWI]",080-090-029,$629.25,,"SFD, Roof Mount Solar Panel Install 7.74kW PV, ESS 13.5kWh"
BLD25-7107,Issued,"Building Permit With Plan Check",11/20/2025,11/25/2025,"4636 Grove St Sonoma [SON]",064-070-008,$629.25,,"SFD, Roof Mount Solar Panel Install 4.73kW PV, ESS 13.5kWh"
BLD25-7108,"Awaiting Applicant Response","Building Permit With Plan Check",11/20/2025,,"711 Furlong Rd Twin Hills [TWI]",080-140-018,$0.00,$0.00,"Ground-mount PV 11.04kW DC (11.40kW AC) and ESS 21.52kWh AC."
BLD25-7109,Issued,"Building Permit With Plan Check",11/20/2025,11/25/2025,"8933 Poplar Ave Cotati [COT]",046-221-039,$629.25,,"SFD_Install new 6.45kW solar PV system with a new energy storage system."
BLD25-7110,"Resubmittal Requested","Building Permit With Plan Check",11/20/2025,,"9200 Winery Ter Kenwood [KEN]",051-230-013,$0.00,,"SFD_Install new 11.61kW solar PV system with a new energy storage system."
BLD25-7111,"Awaiting Applicant Response","Building Permit With Plan Check",11/20/2025,,"2595 Napa Rd Sonoma [SON]",126-061-022,$0.00,$0.00,"new detached garage (unconditioned)"
BLD25-7116,Check,"Building Permit With Plan Check",11/21/2025,,"3780 Wallace Creek Rd Healdsburg [HEA]",110-260-038,$1714.30,$68119.62,"New Booster Pump to (E) Water System, Install (4) 5,000 Gallon Water Tanks for Forbearance Conservation Project"
BLD25-7118,"Awaiting Applicant Response","Building Permit With Plan Check",11/21/2025,,"33550 Pine Mountain Rd Cloverdale [CLO]",117-240-051,$0.00,$0.00,"Pine Mountain Emergency Generator & Battery backup"
BLD25-7120,Check,"Building Permit With Plan Check",11/21/2025,,"8960 Hwy 12 Kenwood [KEN]",050-161-020,$1113.70,$20522.32,"Tuff Shed - HASLAM #2 Project Detached Accessory Storage Shed Tuff Shed (28' x 26') 728 sq ft"
BLD25-7121,Issued,"Building Permit With Plan Check",11/21/2025,11/26/2025,"2449 Burnside Rd Twin Hills [TWI]",073-062-053,$629.25,,"2449 Burnside Rd - SFD, Install 5.28 kW PV system and 24 kWh energy storage system (ESS)"
BLD25-7122,Issued,"Building Permit With Plan Check",11/21/2025,12/03/2025,"6023 Volkerts Rd Twin Hills [TWI]",025-070-025,$629.25,,"SFD - Install 8.8 kW PV system on roof and 27 kWh energy storage system (ESS). Install EV charger - 6033 Volkerts Rd"
BLD25-7123,Issued,"Building Permit With Plan Check",11/21/2025,11/26/2025,"1233 Bags Blvd Sonoma [SON]",127-630-002,$574.00,$0.00,"SFD_Roof-mount PV 22.54kW DC"
BLD25-7124,Issued,"Building Permit With Plan Check",11/21/2025,11/26/2025,"40 Thomas Ln Petaluma [PET]",021-041-007,$479.10,,"SFD_ESS 30kWh AC, to tie in with existing PV."
BLD25-7125,"Awaiting Applicant Response","Building Permit With Plan Check",11/21/2025,,"6049 Mark West Ln Mark West Springs [MWS]",067-270-013,$0.00,$0.00,"metal prefab garage"
BLD25-7130,Issued,"Building Permit With Plan Check",11/21/2025,11/24/2025,"17600 Willow Creek Rd Camp Meeker [CAM]",074-180-046,$479.10,,"SFD_ ESS 32.24kWh AC, to tie into existing PV"
BLD25-7133,Issued,"Building Permit With Plan Check",11/21/2025,11/25/2025,"1735 Goodwin Ave Penngrove [PEN]",047-073-022,$479.10,,"Residential - Replace (E) PV modules and rails on (E) Ground-mount PV System. Remove existing modules on existing ground mount racking. Install new modules on existing ground mount racking and wire to existing PV inverter. 6.16 kw, (14) 440W modules"
BLD25-7134,Issued,"Building Permit With Plan Check",11/21/2025,11/24/2025,"5665 Ross Branch Rd Forestville [FOR]",084-180-023,$629.25,,"SFD_Roof-mount PV 12.88kW DC and ESS 30kWh AC."
BLD25-7135,"Awaiting Applicant Response","Building Permit With Plan Check",11/21/2025,,"12100 Fiori Ln Twin Hills [TWI]",080-060-045,$0.00,$0.00,"NEW PHOTOVOLTAIC GROUND MOUNT MOUNTED SYSTEM - 15.580 KW DC/14.309 KW CEC AC12100 FIOR LANE, SEBASTOPOL, CA95472& ENERGY STORAGE SYSTEM - 30 KWH"
BLD25-7136,Issued,"Building Permit With Plan Check",11/21/2025,11/25/2025,"16700 Fitzpatrick Ln Occidental [OCC]",074-170-041,$629.25,,"SFD_Roof-mount PV 9.66kW DC and ESS 15kWh AC."
BLD25-7144,"Awaiting Applicant Response","Building Permit With Plan Check",11/21/2025,,"36347 Timber Ridge Rd Sea Ranch [SEA]",155-440-024,$0.00,$0.00,"Add New 2900 SF SFD and 484 SF Detached Garage"
BLD25-7147,"Awaiting Applicant Response","Building Permit With Plan Check",11/22/2025,,"15700 Arnold Dr Glen Ellen [GLE]",133-070-053,$0.00,$0.00,"Residential - (N) 856 SF Detached ADU w/ 428 SF Covered Porch new detached ADU"
BLD25-7148,"Awaiting Applicant Response","Building Permit With Plan Check",11/22/2025,,"15700 Arnold Dr Glen Ellen [GLE]",133-070-053,$0.00,$0.00,"SFD, Addition 110 SF, convert portion of garage and remodel"
BLD25-7149,"Awaiting Applicant Response","Building Permit With Plan Check",11/22/2025,,"114 Serres Dr Glen Ellen [GLE]",056-063-005,$0.00,$0.00,"pv system+ microinverters + ESS"
BLD25-7150,"Awaiting Applicant Response","Building Permit With Plan Check",11/23/2025,,"2131 Curtis Dr Penngrove [PEN]",047-273-042,$0.00,$0.00,"SFD, Seismic Retrofit as per Plan A"
BLD25-7151,Issued,"Building Permit With Plan Check",11/23/2025,11/25/2025,"5429 Wilshire Dr Mark West Springs [MWS]",067-100-010,$629.25,,"SFD, ROOF MOUNT INSTALLATION OF 7.83 KW DC PHOTOVOLTAIC SYSTEM WITH 1, 13.5 KWH (13.5 KWH) HOME BACKUP BATTERY"
BLD25-7152,,"Plan Check",11/23/2025,,"729 E Macarthur St Sonoma [SON]",128-111-056,$564.03,$9010.23,"Residential - Decommission 157 SF Bedroom for a new ADU to clear VBU25- 0207"
BLD25-7155,Check,"Building Permit With Plan Check",11/24/2025,,"1033 Westside Rd Healdsburg [HEA]",110-350-013,$1496.67,$12770.76,"New Det'd Workshop (396 SF) with Front Deck (136 SF)"
BLD25-7156,"Awaiting Applicant Response","Building Permit With Plan Check",11/24/2025,,"15830 Riverlands Rd Forestville [FOR]",071-140-020,$0.00,$0.00,"EVT19-00318 SFD - (N) 13.5kWh ESS 2019 Winter Storms and Flooding New 13.5 kWh Energy Storage System on existing single family dwelling."
BLD25-7162,Check,"Building Permit With Plan Check",11/24/2025,,"2547 Lewis Dr Graton [GRA]",078-140-061,$1573.14,$80855.60,"SFD Interior Remodel (623 SF) & Convert Enclosed Storage to Living Space (294 SF). No increase to building footprint or envelope. No increase to building height"
BLD25-7165,"Application Accepted/In Review","Building Permit With Plan Check",11/24/2025,,"6023 Volkerts Rd Twin Hills [TWI]",025-070-025,$0.00,,"ADU - (N) 5.28 kW Roof-mount PV System w/ 13.5kWh ESS and EV charger 6023 Volkerts Rd - ADU - Install 5.28 kW PV system on roof and 13.5 kWh energy storage system (ESS). Install EV charger."
BLD25-7168,"Awaiting Applicant Response","Building Permit With Plan Check",11/24/2025,,"17644 Highland Blvd Agua Caliente [AGU]",056-334-022,$0.00,$43731.18,"SFD, Interior Remodel, Kitchen/Bath,- reconfigure new kitchen cabinets, countertops and appliances, new AC, new lighting throughout Bathroom- New shower pan, shower wall panels, shower door, vanity, toilet Replace current windows with retro fit windows in bedrooms, living room, kitchen and bathroom Install new mini split ac/heater (curently no ac. heat only) add recessed lights to bedrooms, living and kitchen"
BLD25-7171,"Awaiting Applicant Response","Building Permit With Plan Check",11/24/2025,,"1729 Airport Blvd Santa Rosa [SRO]",059-271-006,$0.00,$0.00,"Building Permit for the Frito Lay Distribution facility related to PLP25-0005"
BLD25-7174,"Awaiting Applicant Response","Building Permit With Plan Check",11/24/2025,,"835 Ernest Dr Agua Caliente [AGU]",127-074-011,$0.00,,"· Addition & remodeling to the existing one-story, single-family residence. · Build an addition to the rear of the existing building. · Remodel existing interior spaces; Relocate the kitchen to the new addition. · Remodel the Master Bathroom, relocate the second bathroom, and build a new bathroom. · Add new foundation and wall framing at new addition as required. · Replace the water heater with a new tankless water heater. · Replace the existing furnace with a new HVAC."
BLD25-7176,"Plan Check Approved","Building Permit With Plan Check",11/24/2025,,"500 Ross Ln Graton [GRA]",084-140-012,$0.00,,"Reducing (E) ground mount array from 15kW to 11kW (ground mount solar permit (BLD25-1047). No structural changes, no increase in electrical loads, and all conductors remain within original permitted ampacity"
BLD25-7177,,"Plan Check",11/25/2025,,"4863 Grange Rd Bennett Valley [BEN]",049-160-074,$706.37,$4764.11,"New Detached Shed (169 sf)"
BLD25-7178,"Pre- Due","Building Permit With Plan Check",11/25/2025,,"8987 Hwy 12 Kenwood [KEN]",051-160-035,$479.10,,"Replace (E) Ground Mount Solar inverters (2x Sol ark 12kw) and ESS (40 kwh Storz) with upgraded inverters (2x Sol ark 15 kw) and ESS (60 kwh Storz) size."
BLD25-7181,Check,"Building Permit With Plan Check",11/25/2025,,"1250 Sperring Rd Sonoma [SON]",142-024-003,$2232.33,$89976.39,"New Pool House (693 SF) w/ Outdoor Kitchen (308 SF) & Covered Patio (357 SF)"
BLD25-7182,Issued,"Building Permit With Plan Check",11/25/2025,11/26/2025,"1101 Bohemian Ln Twin Hills [TWI]",073-170-026,$479.10,,"Res, Install new 15kWh Energy Storage System and 14kW Generator on existing SFD."
BLD25-7183,Check,"Building Permit With Plan Check",11/25/2025,,"2869 Bristol Rd Kenwood [KEN]",050-110-050,$2753.63,,"2017 SONOMA COMPLEX FIRE - NEW SFD 2777 SF / GARAGE - 722 SF / COV PORCH - 112 SF (EVT17-04538) ADU ON SEPARATE PERMIT (BLD25- 7186) & DEM16-1171 2,777 SF 2-bedroom, 2.5 bath main residence and 1,187 1-bedroom, 1 bath ADU with a pool on a 2.64 acre fire re-build site."
BLD25-7184,Issued,"Building Permit With Plan Check",11/25/2025,11/26/2025,"155 Robles Sereno Ct Glen Ellen [GLE]",056-660-002,$374.76,,"New 13.5 kWh Energy Storage System on existing single family dwelling."
BLD25-7185,,"Plan Check",11/25/2025,,"1246 Sperring Rd Sonoma [SON]",142-024-003,$880.01,$5102.39,"ADU, New Cellar Addition (181 SF) - Unconditioned"
BLD25-7186,Check,"Building Permit With Plan Check",11/25/2025,,"2869 Bristol Rd Kenwood [KEN]",050-110-050,$1945.76,$98623.73,"2017 SONOMA COMPLEX FIRE - ADU 1187 SF / STORAGE - 307 SF / PORCH - 40 SF 1,187 SF 1-bedroom, 1-bath ADU"
BLD25-7188,Issued,"Building Permit With Plan Check",11/25/2025,11/26/2025,"1250 Helman Ln Cotati [COT]",046-032-009,$629.25,,"SFD, 22 Roof mount Solar panels, DC system size 9.13kW, 2 X Enphase battery,"
BLD25-7189,Check,"Building Permit With Plan Check",11/25/2025,,"4693 Wallace Rd Mark West Springs [MWS]",029-120-027,$1083.50,$36280.53,"EVT17-04271 New Detached Garage 1,287 SF, unconditioned 2-Car w/ storage rm, 2017 COMPLEX FIRE"
