permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-6800,"Awaiting Applicant Response","Building Permit With Plan Check",11/5/2025,,"11139 Cherry Ridge Rd Twin Hills [TWI]",061-120-024,$0.00,$0.00,"Add Shop/Storage to back of existing garage"
BLD25-6801,"Awaiting Applicant Response","Building Permit With Plan Check",11/5/2025,,"4104 Wallace Rd Rincon Valley [RIN]",029-140-012,$0.00,$0.00,"Addition of family room and bathroom Renovation of kitchen, dining room, gathering room and power room"
BLD25-6804,"Awaiting Applicant Response","Building Permit With Plan Check",11/5/2025,,"4915 Conch Ave Bodega Bay [BBY]",101-050-003,$0.00,$69844.70,"To add an addition to the rear of an existing house and remodel an existing kitchen - remodeled kitchen is 196 sq ft"
BLD25-6805,"Awaiting Applicant Response","Building Permit With Plan Check",11/5/2025,,"2255 Hwy 1 Bodega Bay [BBY]",100-220-008,$0.00,$0.00,"Project proposes to construct approximately 0.60 miles of the Bodega Bay Trail - Coastal North Harbor Segment that consists of the following: 1) 8 feet wide by 1,825 linear feet of stabilized aggregate surface; 2) two boardwalks with the following dimensions: 8 feet wide by 48 feet long and 8 feet wide by 38 feet long. There is an existing ADA parking stall and pathway that connects to the proposed trail."
BLD25-6810,Check,"Building Permit With Plan Check",11/6/2025,,"2011 Chapman Ln Petaluma [PET]",021-030-065,$1682.07,$13612.40,"install Manufactured Home ADU"
BLD25-6812,"Awaiting Applicant Response","Building Permit With Plan Check",11/6/2025,,"2864 Dry Creek Rd Geyserville [GEY]",091-160-028,$0.00,$0.00,"25.52kW (63) Panel Ground mount PV System w/ (2) ESS w/ New 225A Sub Panel w/ PCS."
BLD25-6813,Finaled,"Building Permit With Plan Check",11/6/2025,11/12/2025,"4993 Canfield Hill Ln Sebastopol [SEB]",025-120-009,$454.00,$0.00,"SFD, Roof Mount Solar Panel Install 20 Roof mount solar modules, DC system size 8.2kW"
BLD25-6815,Issued,"Building Permit With Plan Check",11/6/2025,11/12/2025,"2675 Dale Ave Sonoma [SON]",135-043-019,$629.25,,"SFD, Roof Mount Solar Install 12.865kW, 4X Enphase Battery, Derate 100A/200A, Add (N) 225A Generation Subpanel, & Stand Alone IQ Gateway"
BLD25-6816,Check,"Building Permit With Plan Check",11/6/2025,,"2207 Peachland Ave Graton [GRA]",130-270-037,$366.08,$10617.15,"SFD, Decommission bedroom (185 SF) in association w /BLD25-5596"
BLD25-6817,Issued,"Building Permit With Plan Check",11/6/2025,11/11/2025,"36 St Patrick Ct Sonoma [SON]",142-311-005,$479.10,,"SFD, Install (N) ESS 13.5kWh"
BLD25-6818,"Awaiting Applicant Response","Building Permit With Plan Check",11/6/2025,,"770 W Agua Caliente Rd Agua Caliente [AGU]",133-140-031,$0.00,$26148.00,"SFD, Foundation repair using 5 Push Piers, 4 Intellijacks, and 20LF of supplemental Beam"
BLD25-6819,Started,"Building Permit With Plan Check",11/6/2025,,"14462 Mcdonough Heights Rd Healdsburg [HEA]",087-232-001,$0.00,$0.00,"Interior remodel, one structural wall removed as per engineering specs, replace existing flooring, remove existing fireplace, replace bank of windows with one glass door, replace kitchen cabinets, countertops, add sink in new kitchen island."
BLD25-6820,"Resubmittal Requested","Building Permit With Plan Check",11/6/2025,,"1000 Freestone Ranch Rd Twin Hills [TWI]",026-090-018,$1438.75,,"SFD, Ground Mount Solar Panel Install 66 panel, 29.7 kW PV, Battery back up 85.8 kWh"
