Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"9851 Broadway, Temple City, California 91780",8588-015-013,E25-49720,Electrical,,REPLACE 100 AMP PANEL WITH 200 AMP SERVICE PANEL ,$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Owner-Builder
"4808 Alessandro Avenue, Temple City, California 91780",8590-024-002,E25-49723,Electrical,,NEMA 14-50 EV CHARGER INSTALLATION ,$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Photonics Electric & IT Services Inc. 
"5036 Alessandro Avenue, Temple City, California 91780",8590-023-021,E25-49724,Electrical,,"EMPORIA LEVEL 2 EV CHARGER INSTALLATION 240V, 60 AMP BREAKER ",$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Photonics Electric & IT Services Inc. 
"9211 Broadway, Temple City, California 91780",8588-002-002,E25-49729,Electrical,,INSTALLATION OF LEVEL 2 TESLA WALL EV CHARGER IN SINGLE FAMILY HOME GARAGE ,$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Owner-Builder
"9911 Miloann Street, Temple City, California 91780",8589-006-039,E25-49730,Electrical,,REPLACE 200 AMP SERVICE PANEL NEW LOCATION SUB-PANEL 100 AMP PERMIT CONVERT EXISTING PANEL ,$0,Issued,07-30-2025,07-30-2025,07-30-2026,,TDT Contractors Inc. 
"5936 Reno Avenue, Temple City, California 91780",5384-017-013,M25-49721,Mechanical,,"CHANGE OUT 80K BTU FURNACE AND 4 TON CONDENSER IN SAME LOCATION, LIKE FOR LIKE ",$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Air Tro Incorporated 
"6166 Encinita Avenue, Temple City, California 91780",5385-002-002,M25-49722,Mechanical,,"INSTALL HVAC SYSTEM, AIR INLETS AND VENTILATION FANS ",$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Right Builder Construction Inc. 
"6628 Oak Avenue, Temple City, California 91780",5382-010-063,P25-49719,Plumbing,,WATER SOFTENER INSTALL INSIDE YARD W/120V OUTLET AND TANKLESS WATER HEATER CHANGE OUT IN CLOSET,$0,Issued,07-30-2025,07-30-2025,07-30-2026,,Service Champions Inc. dba Service Champions Heating and Air Conditioning 
"6034 Sultana Avenue Unit A-B , Temple City, California 91780",5384-015-011,B25-49072,Building,RR Residential Alteration,"FIRE DAMAGE RESTORATION & INTERIOR REMODEL AND 280 SQ.FT.  ENCLOSED PATIO CONVERT INTO JUNIOR ACCESSORY DWELLING UNIT: ONE BEDROOM, ONE BATHROOM AND KITCHEN ","$59,000",Issued,04-28-2025,07-31-2025,07-31-2026,,K B Brown Construction Company dba K B Const Co. 
"6047 Camellia Avenue, Temple City, California 91780",5385-014-024,B25-49734,Building,OT Other,REMOVE EXISTING ROOF. ROOF DOWN TO SHEATHING. INSTALL POLYFRESKO MODIFIED TORCH ROCK SYSTEM 2900 SQ.FT. DETACHED GARAGE ONLY  ,"$22,690",Issued,07-31-2025,07-31-2025,07-31-2026,,"Condominium Construction Services, Inc. "
"4934 Doreen Avenue, Temple City, California 91780",8585-025-021,B25-49735,Building,RR Residential Alteration,"REMOVE EXISTING SHINGLES AND REPLACING WITH NEW CLASS ""A"" ASPHALT SHINGLES (HOUSE ONLY) ","$10,000",Issued,07-31-2025,07-31-2025,07-31-2026,,Owner-Builder
"6034 Sultana Avenue Unit A-B , Temple City, California 91780",5384-015-011,E25-49731,Electrical,,"(30) OUTLETS, (12) LIGHT FIXTURES, HEAT PUMP/AC UNITS , GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FANS WITH 200 AMP SERVICE PANEL FOR THE FIRE DAMAGE AND JUNIOR ACCESSORY DWELLING UNIT ",$0,Issued,07-31-2025,07-31-2025,07-31-2026,,K B Brown Construction Company dba K B Const Co. 
"6034 Sultana Avenue Unit A-B , Temple City, California 91780",5384-015-011,M25-49732,Mechanical,,INSTALL (1) MINI SPLIT SYSTEM AND VENTILATION FANS FOR THE FIRE DAMAGE AND JUNIOR ACCESSORY DWELLING UNIT ,$0,Issued,07-31-2025,07-31-2025,07-31-2026,,K B Brown Construction Company dba K B Const Co. 
"6034 Sultana Avenue Unit A-B , Temple City, California 91780",5384-015-011,P25-49733,Plumbing,,"BATHTUB/2 SHOWERS, CLOTHES WASHER, DISH WASHER, LAVATORIES, SINK, WATER CLOSETS, WATER HEATER AND GAS OUTLETS  AND CONNECT TO PUBLIC SEWER THE JUNIOR ACCESSORY DWELLING UNIT AND FIRE DAMAGE ",$0,Issued,07-31-2025,07-31-2025,07-31-2026,,K B Brown Construction Company dba K B Const Co. 
