Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"5322 Buttons Avenue Unit B , Temple City, California 91780",8590-004-028,P25-48791,Plumbing,,SHOWER REMODEL  ,$0,Issued,03-19-2025,03-19-2025,03-19-2026,,Jung Chi Yu 
"5616 Cloverly Avenue Unit B , Temple City, California 91780",8588-006-005,P25-48792,Plumbing,,ADD A NEW HOSE BIBB IN BACKYARD ,$0,Issued,03-19-2025,03-19-2025,03-19-2026,,Apex Building Development Corp.
"5226 Mcclintock Avenue, Temple City, California 91780",8574-005-021,B25-48795,Building,RR Residential Alteration,REPLACE WIND DAMAGED (2) AREAS OF MAIN HOUSE ONLY. RE-ROOF WITH COMP SHINGLES TO MATCH EXISTING HOUSE ,$2500,Issued,03-20-2025,03-20-2025,03-20-2026,,Hernandez Enterprises Roofing 
"9855 Flaherty Street, Temple City, California 91780",5385-025-015,B25-48798,Building,OT Other,REMOVE EXISTING ROOF. INSTALL PLYWOOD  AND INSTALL FIBERGLASS SHINGLES ON DETACHED GARAGE ,$3100,Finaled,03-20-2025,03-20-2025,03-20-2026,03-27-2025,Douglas Cote Roofing 
"10153 Lynrose Street, Temple City, California 91780",8586-020-016,B25-48799,Building,RR Residential Alteration,HOUSE & GARAGE APPROXIMATELY 2300 SQ.FT. REMOVE EXISTING ROOF INSTALL NEW UNDERLAYMENT OVER EXISTING SHEATHING INSTALL NEW PRESIDENTIAL SHAKE TL (CERTAINTEED) CHARCOAL BLACK  ,$6900,Issued,03-20-2025,03-20-2025,03-20-2026,,DLS Development Inc.
"5336 Noel Drive Unit A , Temple City, California 91780",5388-007-025,M25-48796,Mechanical,,INSTALL (2) HVAC SYSTEMS FOR A NEW SINGLE FAMILY DWELLING ,$0,Issued,03-20-2025,03-20-2025,03-20-2026,,Owner-Builder
"5336 Noel Drive Unit B, Temple City, California 91780",5388-007-025,M25-48797,Mechanical,,INSTALL (1) HVAC SYSTEM FOR A NEW DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,03-20-2025,03-20-2025,03-20-2026,,Owner-Builder
"5401 Welland Avenue, Temple City, California 91780",8573-016-050,B25-48718,Building,RR Residential Alteration,INTERIOR REMODEL OF KITCHEN AND (3) BATHROOMS ,"$60,000",Issued,03-10-2025,03-24-2025,03-24-2026,,Owner-Builder
"9841 Howland Drive, Temple City, California 91780",8589-004-019,B25-48735,Building,RR Residential Alteration,TEAR OFF EXISTING SHINGLES. INSTALL NEW ASPHALT SHINGLES ,"$12,000",Issued,03-11-2025,03-24-2025,03-24-2026,,Owner-Builder
"9620 Las Tunas Drive, Temple City, California 91780",8587-018-013,B25-48802,Building,CR Commercial Alteration,TPO SINGLE-PLY INSTALLATION (COOL ROOF) ,"$21,650",Issued,03-24-2025,03-24-2025,03-24-2026,,Scherer Inc. dba T & G Roofing 
"9841 Howland Drive, Temple City, California 91780",8589-004-019,B25-48809,Building,OT Other,TEAR OFF EXISTING SHINGLES. INSTALL NEW ASPHALT SHINGLES DETACHED GARAGE AND RECREATION ROOM (SEE ALSO PERMIT # B25-48735) ,$0,Issued,03-24-2025,03-24-2025,03-24-2026,,Owner-Builder
