Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"4852 Camellia Avenue, Temple City, California 91780",8589-016-010,B25-50277,Building,CB Combo Building,"ROOFTOP MOUNTED SOLAR ENERGY SYSTEM: (28) JAM54S31-405/,R MODULES (1) 1707000-XX-Y (11.5KW) INVERTER (1) 170700-XX-Y (11.5KW) ESS + 1 1807000-XX-Y DC BATTERY EXPANSION SYSTEM SIZE: 11.34 KW DC (11.5 KW AC) ",$0,Issued,10-15-2025,10-15-2025,10-15-2026,,Sunrun Installation Services Inc. dba Sunrun 
"10233 Green Street Unit A , Temple City, California 91780",8585-005-022,E24-48047,Electrical,,"(1) BRANCH CIRCUIT, (5) OUTLETS, (2) LIGHT FIXTURES AND (1) EXHAUST FAN FOR A NEW BATHROOM ",$0,Finaled,12-05-2024,10-15-2025,10-15-2026,10-27-2025,Leavon Development Inc. 
"9170 Bidwell Street, Temple City, California 91780",5387-018-008,E25-50276,Electrical,,UPGRADE MAIN PANEL TO 200 AMP ,$0,Issued,10-15-2025,10-15-2025,10-15-2026,,ZH Excellent Construction Inc. 
"4852 Camellia Avenue, Temple City, California 91780",8589-016-010,E25-50278,Electrical,,(1) 170700-XX-Y (11.5KW) ESS + 1 1807000-XX-Y DC BATTERY EXPANSIO,$0,Issued,10-15-2025,10-15-2025,10-15-2026,,Sunrun Installation Services Inc. dba Sunrun 
"9423 Lower Azusa Road, Temple City, California 91780",8590-021-028,G25-50270,Grading,,"GRADING FOR POOL DEMO WITH BACKFILLING WITH UNCERTIFIED FILL 
(RESTRICTED AREA ON SITE, NOT SUITABLE FOR BUILDING) ",$0,Issued,10-15-2025,10-15-2025,10-15-2026,,Prosperity Development Inc. 
"10233 Green Street Unit A , Temple City, California 91780",8585-005-022,M24-48048,Mechanical,,INSTALL (1) VENTILATION FAN FOR A NEW BATHROOM ,$0,Finaled,12-05-2024,10-15-2025,10-15-2026,10-27-2025,Leavon Development Inc. 
"10709 Arrowood Street, Temple City, California 91780",8574-002-008,M25-50265,Mechanical,,"INSTALLATION OF A 3 TON VARIABLE SPEED DAIKIN FIT SPLIT HEAT PUMP SYSTEM, INCLUDING AIR HANDLER AND DUCT CONNECTIONS ",$0,Issued,10-14-2025,10-15-2025,10-15-2026,,Seruun Hvac Inc. dba Air Comfort Experts 
"9423 Lower Azusa Road, Temple City, California 91780",8590-021-028,MISC25-50269,Miscellaneous,,"POOL DEMO WITH BACKFILLING WITH UNCERTIFIED FILL 
(RESTRICTED AREA ON SITE, NOT SUITABLE FOR BUILDING) ",$0,Issued,10-15-2025,10-15-2025,10-15-2026,,Prosperity Development Inc. 
"10233 Green Street Unit A , Temple City, California 91780",8585-005-022,P24-48049,Plumbing,,"INSTALL BATHTUB, LAVATORIE AND WATER CLOSET FOR A NEW BATHROOM ",$0,Finaled,12-05-2024,10-15-2025,10-15-2026,10-27-2025,Leavon Development Inc. 
"5520 Sultana Avenue, Temple City, California 91780",5387-026-010,B25-50275,Building,RR Residential Alteration,REMODEL TWO BATHROOMS AND KITCHEN ,"$30,000",Issued,10-15-2025,10-16-2025,10-16-2026,,Xinyu Yan dba Bluenail Homes 
"6245 Sultana Avenue, Temple City, California 91780",5384-005-022,B25-50280,Building,RR Residential Alteration,REMOVE COMP ROOF. INSTALL 30 YR GAF TIMBERLINE RS COMP (SAGEWOOD) 25 SQ'S,"$17,800",Issued,10-16-2025,10-16-2025,10-16-2026,,D & G Roofing Inc. 
"10052 Daines Drive, Temple City, California 91780",8586-024-014,B25-50281,Building,RR Residential Alteration,HOUSE - REMOVE COMP ROOF. INSTALL 30 YR GAF TIMBERLINE RS COMP (BIRCHWOOD) 17 SQ'S ,"$12,000",Finaled,10-16-2025,10-16-2025,10-16-2026,11-18-2025,D & G Roofing Inc. 
"10052 Daines Drive, Temple City, California 91780",8586-024-014,B25-50282,Building,OT Other,DETACHED GARAGE - REMOVE COMP ROOF. INSTALL 30 YR GAF TIMBERLINE RS COMP (BIRCHWOOD) 4 SQ'S ,$3920,Issued,10-16-2025,10-16-2025,10-16-2026,,D & G Roofing Inc. 
"5219 Farago Avenue, Temple City, California 91780",8574-008-022,B25-50284,Building,FS Fire Sprinkler,INSTALLATION OF FIRE SPRINKLER SYSTEM ,$2000,Issued,10-16-2025,10-16-2025,10-16-2026,,"Premier Fire Protection, Inc. "
"5526 Ryland Avenue, Temple City, California 91780",8586-017-005,E25-50283,Electrical,,PANEL UPGRADE TO 200 AMP AND 240V 50 AMP OUTLET INSTALLATION ,$0,Finaled,10-16-2025,10-16-2025,10-16-2026,10-20-2025,Ultimax Electric Corp. 
"10218 Nadine Street Unit A , Temple City, California 91780",8586-026-015,E25-50286,Electrical,,"(5) OUTLETS, (8) LIGHT FIXTURES, WASHING MACHINE AND EXHAUST FANS",$0,Issued,10-16-2025,10-16-2025,10-16-2026,,Owner-Builder
"10300 La Rosa Drive, Temple City, California 91780",8585-018-082,E25-50289,Electrical,,INSTALL EV CHARGER INSIDE GARAGE ,$0,Issued,10-16-2025,10-16-2025,10-16-2026,,Owner-Builder
"10218 Nadine Street Unit A , Temple City, California 91780",8586-026-015,M25-50287,Mechanical,,(2) VENTILATION FANS ,$0,Issued,10-16-2025,10-16-2025,10-16-2026,,Owner-Builder
"10218 Nadine Street Unit A , Temple City, California 91780",8586-026-015,P25-50288,Plumbing,,"SHOWERS, CLOTHES WASHER, LAVATORIES, WATER CLOSETS, WATER HEATER AND GAS OUTLET ",$0,Issued,10-16-2025,10-16-2025,10-16-2026,,Owner-Builder
"6047 Cloverly Avenue Unit B , Temple City, California 91780",5385-006-004,B25-49275,Building,NR New Residential,"NEW DETACHED ACCESSORY DWELLING UNIT: 3 BEDROOMS, 3 BATHROOMS, KITCHEN, DINING AND LIVING AREA ","$200,000",Issued,05-22-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"6047 Cloverly Avenue, Temple City, California 91780",5385-006-004,B25-49276,Building,OT Other,BUILD A NEW DETACHED 2-CAR GARAGE ,"$50,000",Issued,05-22-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"10902 Wildflower Road, Temple City, California 91780",8573-034-016,B25-50290,Building,RR Residential Alteration,"TEAR OFF EXISTING ROOF, REPAIR OR REPLACE DAMAGED ROOF SHEATHING. INSTALL 30 YEAR ASPHALT SHINGLES HOUSE & ATTACHED GARAGE 26 SQ'S. ","$13,500",Finaled,10-20-2025,10-20-2025,10-20-2026,10-27-2025,Golden West Roofing Services Inc.
"5924 1/2 Cloverly Avenue, Temple City, California 91780",8587-013-020,B25-50299,Building,RR Residential Alteration,"TEAR OFF EXISTING SHINGLES, NEW SHEATHING AND INSTALL  COMPOSITION SHINGLES",$3000,Finaled,10-20-2025,10-20-2025,10-20-2026,10-27-2025,Robert L Fung Construction Inc.  
"5924 3/4 Cloverly Avenue, Temple City, California 91780",8587-013-020,B25-50300,Building,RR Residential Alteration,"TEAR OFF EXISTING SHINGLES, NEW SHEATHING AND INSTALL  COMPOSITION SHINGLES",$3000,Finaled,10-20-2025,10-20-2025,10-20-2026,10-27-2025,Robert L Fung Construction Inc.  
"6322 Golden West Avenue, Temple City, California 91780",5383-020-011,B25-50306,Building,RR Residential Alteration,"TEAR OFF EXISTING ROOF AND INSTALL NEW CLASS ""A""  EAGLELITE LIGHTWEIGHT COLLECTION CONCRETE ROOF TILE. ICC # ESR 1900. SEE EM-5  COLOR: 498 KONA RED RANGE CRRC: 0918-0018",$9500,Issued,10-20-2025,10-20-2025,10-20-2026,,Owner-Builder
"6047 Cloverly Avenue, Temple City, California 91780",5385-006-004,D25-50301,Demolition,,DEMO EXISTING DETACHED GARAGE ,$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"10258 Olive Street, Temple City, California 91780",8585-004-035,E25-50294,Electrical,,UPGRADE PANEL TO 200 AMP AND INSTALL A L2 EV CHARGER  NEXT TO THE PANEL ,$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Horizon Construction & Electrical Inc. 
"6047 Cloverly Avenue Unit B , Temple City, California 91780",5385-006-004,E25-50302,Electrical,,ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING UNIT WITH 100 AMP SERVICE PANEL ,$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"6047 Cloverly Avenue, Temple City, California 91780",5385-006-004,E25-50303,Electrical,,ELECTRICAL FOR A NEW DETACHED GARAGE ,$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"6047 Cloverly Avenue Unit B , Temple City, California 91780",5385-006-004,M25-50304,Mechanical,,INSTALL (3) MINI SPLIT SYSTEMS AND VENTILATION FANS ,$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"9704 Live Oak Avenue, Temple City, California 91780",8588-011-020,P25-50291,Plumbing,,"PEX REPIPE TO (9) FIXTURES, REPLACE 1"" METER & MAIN IN FRONT YARD (150 LF), 40 GALLON WATER HEATER C/O IN GARAGE ",$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Service Champions Inc. dba Service Champions Heating and Air Conditioning 
"6047 Cloverly Avenue Unit B , Temple City, California 91780",5385-006-004,P25-50305,Plumbing,,PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING UNIT AND CONNECT TO PUBLIC SEWER ,$0,Issued,10-20-2025,10-20-2025,10-20-2026,,Jiansen Huang 
"5626 Golden West Avenue, Temple City, California 91780",8588-012-027,P25-50308,Plumbing,,REPLACING WATER MAIN PIPE REQUIRES TRENCHING 50 FEET. INSTALL COPPER PIPE AND NEW MAIN SHUTOFF ,$0,Finaled,10-20-2025,10-20-2025,10-20-2026,10-22-2025,Rocket Rooter and Plumbing Corp. 
"10566 West Live Oak Avenue, Arcadia, California 91007",8586-012-028,B25-50314,Building,CB Combo Building,ROOF MOUNTED PV: 7.055 KW MODULES (17) 3 X ENPHASE BATTERY DERATE: 175A SUB-PANEL 125A,"$43,365",Issued,10-20-2025,10-21-2025,10-21-2026,,V3 Electric 
"5743 Camellia Avenue, Temple City, California 91780",8587-017-009,E25-50217,Electrical,,INSTALL (1) HANWHA QCELLS Q.VOLT H706SX WITH INTEGRATED Q.SAVE D20.0SX BATTERY (240V) INVERTERS ESS ,$0,Issued,10-07-2025,10-21-2025,10-21-2026,,SolarMax Renewable Energy Provider Inc.
"10566 West Live Oak Avenue, Arcadia, California 91007",8586-012-028,E25-50315,Electrical,,3 X ENPHASE BATTERY DERATE: 175A SUB-PANEL 125A,$0,Issued,10-20-2025,10-21-2025,10-21-2026,,V3 Electric 
"9843 Wendon Street, Temple City, California 91780",5385-022-018,E25-50318,Electrical,,"(35) OUTLETS, (20) LIGHT FIXTURES, ELECTRIC OVEN, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FANS, HEAT PUMPS AND A/C UNITS ",$0,Issued,10-21-2025,10-21-2025,10-21-2026,,T & L Air Conditioning Inc.
"9412 Daines Drive, Temple City, California 91780",8588-029-027,E25-50323,Electrical,,ELECTRICAL PANEL UPGRADE FROM 100A TO 200A,$0,Issued,10-21-2025,10-21-2025,10-21-2026,,Energy M Electric 
"9843 Wendon Street, Temple City, California 91780",5385-022-018,M25-50319,Mechanical,,"INSTALL (2) HVAC SYSTEMS, AIR INLETS AND VENTILATION FANS ",$0,Issued,10-21-2025,10-21-2025,10-21-2026,,T & L Air Conditioning Inc.
"9843 Wendon Street, Temple City, California 91780",5385-022-018,P25-50320,Plumbing,,"SHOWERS, CLOTHES WASHER, DISH WASHER, HOSE BIBBS, LAVATORIES, KITCHEN SINK, WATER CLOSETS AND WATER HEATER ",$0,Issued,10-21-2025,10-21-2025,10-21-2026,,Owner-Builder
"5750 Alessandro Avenue, Temple City, California 91780",8587-005-017,B25-50324,Building,RR Residential Alteration,REPLACE (1) PATIO DOOR WITH NO CHANGE IN SIZE OR LOCATION ,$4683.46,Issued,10-22-2025,10-22-2025,10-22-2026,,The Home Depot USA Inc. dba The Home Depot 
"4846 Hallowell Avenue, Temple City, California 91780",8585-017-010,B25-50325,Building,OT Other,NEW PATIO COVER 576 SQ.FT. ,"$12,000",Issued,10-22-2025,10-22-2025,10-22-2026,,Owner-Builder
"5222 Daleview Avenue, Temple City, California 91780",8574-007-005,B25-50330,Building,RR Residential Alteration,"19 SQUARES TILE RESET. REMOVE EXISTING TILES, CHANGE UNDERLAYMENT. PLYWOOD OVERLAY OVER EXISTING AND PUT TILES BACK ON.","$11,400",Finaled,10-22-2025,10-22-2025,10-22-2026,11-03-2025,Universal Roofing & Construction Inc. dba Universal Builder Co. 
"10618 Sparklett Street, Temple City, California 91780",8585-025-005,B25-50332,Building,CB Combo Building,ROOFTOP MOUNTED SOLAR ENERGY SYSTEM: (13) DNA-120-BF10-460W SOLAR MODULES (1) 1707000-XX-Y (11.5KW) INVERTER  (1) 1707000-XX-Y (11.5KW) ESS. SYSTEM  SIZE: 5.98KW DC (3.8 KW AC) ,$0,Issued,10-22-2025,10-22-2025,10-22-2026,,Vibe Solar 
"4846 Hallowell Avenue, Temple City, California 91780",8585-017-010,E25-50326,Electrical,,INSTALL (10) RECESSED LIGHTS ,$0,Issued,10-22-2025,10-22-2025,10-22-2026,,Owner-Builder
"10618 Sparklett Street, Temple City, California 91780",8585-025-005,E25-50333,Electrical,,(1) 170700-XX-Y (11.5KW) ESS ,$0,Issued,10-22-2025,10-22-2025,10-22-2026,,Vibe Solar 
"10233 Green Street Unit C , Temple City, California 91780",8585-005-022,E25-50334,Electrical,,(3) BRANCH CIRCUITS (5) OUTLETS AND RANGE HOOD FOR THE JUNIOR ACCESSORY DWELLING UNIT ,$0,Finaled,10-22-2025,10-22-2025,10-22-2026,10-27-2025,Leavon Development Inc. 
"10551 Danbury Street, Temple City, California 91780",8586-011-055,M25-50329,Mechanical,,(6) SUPPLY (1) RETURN DUCT C/O ,$0,Issued,10-22-2025,10-22-2025,10-22-2026,,Service Champions Inc. dba Service Champions Heating and Air Conditioning 
"4941 Camellia Avenue Unit A-B , Temple City, California 91780",8589-014-023,M25-50331,Mechanical,,INSTALL RANGE HOOD ,$0,Issued,10-22-2025,10-22-2025,10-22-2026,,CL Builders & Development Inc.
"10233 Green Street Unit C , Temple City, California 91780",8585-005-022,M25-50335,Mechanical,,INSTALL (1) MINI SPLIT SYSTEM AND RANGE HOOD FOR THE JUNIOR ACCESSORY DWELLING UNIT ,$0,Finaled,10-22-2025,10-22-2025,10-22-2026,10-27-2025,Leavon Development Inc. 
"5953 Temple City Boulevard, Temple City, California 91780",40661183,P25-50327,Plumbing,,NEW FOOD PREPARE SINK IN THE EXISTING KITCHEN ONLY ,$0,Issued,10-22-2025,10-22-2025,10-22-2026,,Owner-Builder
"10233 Green Street Unit C , Temple City, California 91780",8585-005-022,P25-50336,Plumbing,,INSTALL KITCHEN SINK FOR THE JUNIOR ACCESSORY DWELLING UNIT ,$0,Finaled,10-22-2025,10-22-2025,10-22-2026,10-27-2025,Leavon Development Inc. 
"4809 Kauffman Avenue Unit B , Temple City, California 91780",8589-016-025,B25-49558,Building,NR New Residential,"NEW 800 SQ.FT. DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS AND KITCHEN ","$160,000",Issued,07-07-2025,10-23-2025,10-23-2026,,888 Water Restoration LLC 
"5522 Gracewood Avenue, Arcadia, California 91007",8586-015-039,B25-49699,Building,CR Commercial Alteration,"REPLACEMENT OF EXISTING MECHANICAL ROOM AND EQUIPMENT, REPLACEMENT OF EXISTING (2) RESTROOMS ","$150,000",Issued,07-29-2025,10-23-2025,10-23-2026,,Owner-Builder
