Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"4853 Doreen Avenue Unit B , Temple City, California 91780",8585-024-036,M25-48454,Mechanical,,INSTALL (4) MINI SPLIT SYSTEMS AND VENTILATION FANS FOR A NEW DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,01-30-2025,02-04-2025,02-04-2026,,Aligcus Construction LLC 
"4853 Doreen Avenue Unit A , Temple City, California 91780",8585-024-036,P25-48452,Plumbing,,"BATHTUBS/SHOWERS, CLOTHES WASHER, HOSE BIBB, LAVATORIES, SINKS, WATER CLOSETS, WATER HEATER FOR ADDITION AND NEW ADDITION ",$0,Issued,01-30-2025,02-04-2025,02-04-2026,,Aligcus Construction LLC 
"4853 Doreen Avenue Unit B , Temple City, California 91780",8585-024-036,P25-48455,Plumbing,,PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING UNIT AND CONNECT TO PUBLIC SEWER ,$0,Issued,01-30-2025,02-04-2025,02-04-2026,,Aligcus Construction LLC 
"9920 Broadway, Temple City, California 91780",8588-016-013,B24-47656,Building,RA Residential Addition,"775 SQ.FT. 1-STORY ADDITION OF ONE BEDROOM, ONE BATHROOM AND INTERIOR REMODEL OF EXISTING 1760 SQ.FT. HOUSE. BUILD ((N) FRONT COVERED PORCH AND BUILD (N) REAR OPEN PATIO AND REPLACE ALL WINDOWS ","$231,486.93",Issued,10-02-2024,02-05-2025,02-05-2026,,Anokia Inc.
"9165 Emperor Avenue Unit B , San Gabriel, California 91775",5382-012-034,B24-47962,Building,NR New Residential,"CONVERT EXISTING 735 SQ.FT. DETACHED GARAGE INTO ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS AND KITCHEN ","$107,391.31",Issued,11-21-2024,02-05-2025,02-05-2026,,Tan Construction 
"6112 Ivar Avenue, Temple City, California 91780",5384-002-014,B25-48488,Building,RR Residential Alteration,VOLUNTARY EARTHQUAKE RETROFIT USING THE L.A. CITY STANDARD PLAN. DETAIL #7 ,$3000,Issued,02-05-2025,02-05-2025,02-05-2026,,Haro Retrofit & Renovations 
"6522 Oak Avenue, Temple City, California 91780",5382-010-038,B25-48489,Building,RR Residential Alteration,RETROFIT (10) EXISTING WINDOWS ,$3800,Finaled,02-05-2025,02-05-2025,02-05-2026,02-20-2025,Owner-Builder
"5405 Golden West Avenue, Temple City, California 91780",8588-020-023,B25-48498,Building,RR Residential Alteration,REMOVE AND REPLACE (10) WINDOWS  AND (1) PATIO DOOR LIKE FOR LIKE WITH NO STRUCTURAL CHANGES. ALL WINDOWS AND DOORS WILL HAVE A MAXIMUM U-FACTOR OF 0.30 AND SHGC OF 0.23. REPLACEMENT GLASS WILL BE LOW-E,"$14,729.4",Issued,02-05-2025,02-05-2025,02-05-2026,,The Home Depot USA Inc. dba The Home Depot 
"5138 Rosemead Boulevard, San Gabriel, California 91776",5388-019-021,B25-48499,Building,RR Residential Alteration,"TEAR OFF EXISTING COMPOSITION ROOF ON HOUSE AND ATTACHED GARAGE. INSTALL CLASS ""A"" COMPOSITION ROOF",$8000,Issued,02-05-2025,02-05-2025,02-05-2026,,Lansford Roofing Inc. 
"10559 Daines Drive, Temple City, California 91780",8586-011-013,B25-48500,Building,RR Residential Alteration,ADDING ONE LAYER ON THE EXISTING ROOF PITCH ROOF SHINGLE FLAT ROOF TORCH DOWN HOUSE  AND ATTACHED GARAGE ,"$10,500",Issued,02-05-2025,02-05-2025,02-05-2026,,Shunde Roofing Inc. 
"10650 Olive Street, Temple City, California 91780",8585-031-002,B25-48501,Building,RR Residential Alteration,MAIN HOUSE TEAR OFF EXISTING ROOF APPLY NEW SHEATHING FOR ENTIRE HOUSE COVER BACK BY SHINGLE AND TORCH DOWN ON  THE FLAT ROOF ,"$22,000",Issued,02-05-2025,02-05-2025,02-05-2026,,Shunde Roofing Inc. 
"10650 Olive Street, Temple City, California 91780",8585-031-002,B25-48502,Building,OT Other,DETACHED GARAGE  TEAR OFF EXISTING ROOF APPLY NEW SHEATHING FOR ENTIRE HOUSE COVER BACK BY SHINGLE AND TORCH DOWN ON  THE FLAT ROOF ,$8000,Issued,02-05-2025,02-05-2025,02-05-2026,,Shunde Roofing Inc. 
"9974 Bogue Street, Temple City, California 91780",8588-015-029,B25-48503,Building,RR Residential Alteration,REMODEL KITCHEN ,"$20,000",Issued,02-05-2025,02-05-2025,02-05-2026,,Owner-Builder
"9974 Bogue Street, Temple City, California 91780",8588-015-029,B25-48504,Building,RR Residential Alteration,MAIN HOUSE - TEAR OFF EXISTING ROOF AND RE ROOF WITH COMPOSITION SHINGLE ,$5000,Issued,02-05-2025,02-05-2025,02-05-2026,,Owner-Builder
"9974 Bogue Street, Temple City, California 91780",8588-015-029,B25-48505,Building,OT Other,DETACHED GARAGE - TEAR OFF EXISTING ROOF AND RE ROOF WITH COMPOSITION SHINGLE ,$3000,Issued,02-05-2025,02-05-2025,02-05-2026,,
"4921 Hallowell Avenue Unit A-B , Temple City, California 91780",8585-016-060,E25-48487,Electrical,,INSTALL A 400 AMP SERVICE PANEL ,$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Owner-Builder
"9165 Emperor Avenue Unit B , San Gabriel, California 91775",5382-012-034,E25-48490,Electrical,,"(30) OUTLETS, (20) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, EXHAUST FAN, AC UNITS AND WITH 200 AMP SERVICE PANEL FOR DETACHED ACCESSORY DWELLING UNIT ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Tan Construction 
"9920 Broadway, Temple City, California 91780",8588-016-013,E25-48493,Electrical,,"(100) OUTLETS, (80) LIGHT FIXTURES, FAU/AC UNITS, GARBAGE DISPOSAL DISHWASHER, RANG HOOD, WASHING MACHINE, EXHAUST FAN FOR ADDITION AND REMODEL ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Anokia Inc.
"9974 Bogue Street, Temple City, California 91780",8588-015-029,E25-48506,Electrical,,"BRANCH CIRCUIT, (22) OUTLETS, (23) LIGHT FIXTURES, GARBAGE DISPOSAL, DISH WASHER, RANGE HOOD, WASHING MACHINE, EXHAUST, OTHER RESIDENTIAL, EV CHARGER, UPGRADE SERVICE PANEL 200 AMP SERVICE PANEL AND SUB-PANEL 50 AMP FOR KITCHEN REMODEL ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Owner-Builder
"9920 Broadway, Temple City, California 91780",8588-016-013,G25-48497,Grading,,DEMOLISH EXISTING POOL  WITH BACKFILLING WITH STRUCTURAL COMPACTED FILL ,$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Anokia Inc.
"5837 Tree Rose Terrace, San Gabriel, California 91775",5387-007-025,M25-48475,Mechanical,,5 TON CONDENSER CHANGE OUT IN SIDE YARD 5 TON INDOOR COIL CHANGE OUT 100K BTUS FURNACE CHANGE OUT IN ATTIC ,$0,Issued,02-04-2025,02-05-2025,02-05-2026,,ARS American Residential Services of Californian Inc. dba Rightime Home Services
"9165 Emperor Avenue Unit B, San Gabriel, California 91775",5382-012-034,M25-48491,Mechanical,,INSTALL (3) MINI SPLIT SYSTEMS AND VENTILATION FANS FOR A DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Tan Construction 
"9920 Broadway, Temple City, California 91780",8588-016-013,M25-48494,Mechanical,,"INSTALL HVAC SYSTEM, AIR INLETS AND VENTILATION FANS FOR ADDITION AND REMODEL ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Anokia Inc.
"9974 Bogue Street, Temple City, California 91780",8588-015-029,M25-48507,Mechanical,,INSTALL ONE VENTILATION FAN FOR KITCHEN REMODEL ,$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Owner-Builder
"9920 Broadway, Temple City, California 91780",8588-016-013,MISC25-48496,Miscellaneous,,DEMOLISH EXISTING POOL WITH BACKFILLING WITH STRUCTURAL COMPACTED FILL ,$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Anokia Inc.
"9165 Emperor Avenue Unit B , San Gabriel, California 91775",5382-012-034,P25-48492,Plumbing,,"BATHTUB/SHOWER, DISHWASHER, LAVATORIES, SINK, ROOF DRAINS, WATER CLOSETS, WATER HEATER, GAS OUTLETS, WATER MAIN AND CONNECT DETACHED ACCESSORY DWELLING UNIT TO PUBLIC SEWER ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Tan Construction 
"9920 Broadway, Temple City, California 91780",8588-016-013,P25-48495,Plumbing,,"BATHTUB/SHOWERS, CLOTHES WASHER, DISH WASHER, HOSE BIBB, LAVATORIES, SINKS, WATER CLOSETS, WATER HEATER, WATER TREATING EQUIPMENT, GAS OUTLETS FOR ADDITION AND REMODEL  ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Anokia Inc.
"9974 Bogue Street, Temple City, California 91780",8588-015-029,P25-48508,Plumbing,,"POT FILLER, WATER HEATER, DRAINAGE/VENT PIPING FOR KITCHEN REMODEL ",$0,Issued,02-05-2025,02-05-2025,02-05-2026,,Owner-Builder
"6125 Rowland Avenue, Temple City, California 91780",5385-024-044,B25-48512,Building,RR Residential Alteration,TILE RESET INSTALL NEW UNDERLAYMENT & REINSTALL TILE HOUSE & ATTACHED GARAGE,"$20,000",Issued,02-06-2025,02-06-2025,02-06-2026,,S NEW ROOF INC
"10781 Daneswood Drive, Temple City, California 91780",8573-011-005,E25-48459,Electrical,,"REPLACE ELECTRIC PANEL TO 200 AMP SERVICE PANEL, INSTALL ELECTRIC WATER HEATER (SAME LOCATION) ",$0,Issued,01-30-2025,02-06-2025,02-06-2026,,Animo Incorporate 
"5309 Temple City Boulevard, Temple City, California 91780",8590-006-003,M25-48511,Mechanical,,INSTALL AC UNIT FOR GUEST HOUSE,$0,Issued,02-06-2025,02-06-2025,02-06-2026,,
"5309 Temple City Boulevard, Temple City, California 91780",8590-006-003,MISC25-48509,Miscellaneous,,"TO VERIFY COMPLIANCE: REMOVE SHOWER, TOILET, SINK, CAP PIPING TO RESTORE BACK TO REC ROOM",$0,Issued,02-06-2025,02-06-2025,02-06-2026,,
"5309 Temple City Boulevard, Temple City, California 91780",8590-006-003,MISC25-48510,Miscellaneous,,"TO VERIFY COMPLIANCE: REMOVE LAUNDRY UNITS & COUNTERTOP IN GUEST ROOM AREA, CAP PIPING",$0,Issued,02-06-2025,02-06-2025,02-06-2026,,
"10781 Daneswood Drive, Temple City, California 91780",8573-011-005,P25-48460,Plumbing,,REPLACE WATER HEATER (SAME LOCATION) ,$0,Issued,01-30-2025,02-06-2025,02-06-2026,,Animo Incorporate 
"9655 Woodruff Avenue Unit B , Temple City, California 91780",5385-018-015,B24-47943,Building,NR New Residential,"CONVERT EXISTING 677 SQ.FT. DETACHED GARAGE INTO ACCESSORY DWELLING UNIT: TWO BEDROOMS, ONE BATHROOM AND KITCHEN ","$150,000",Issued,11-18-2024,02-10-2025,02-10-2026,,JP Service dba P Construction CO.
"9635 Las Tunas Drive, Temple City, California 91780",8587-019-035,B24-47967,Building,CR Commercial Alteration,"TENANT IMPROVEMENT : (N) INTERIOR PARTITION WALLS, FLOORING, PAINT, & DESKS FOR WELLS FARGO REFRESH","$168,000",Issued,11-25-2024,02-10-2025,02-10-2026,,Express Set Fixtures 
"9226 Sparklett Street, Temple City, California 91780",8590-028-013,B25-48513,Building,RR Residential Alteration,20 SQUARE'S SHINGLE RE ROOF. INSTALLING NEW SYNTHETIC UNDERLAYMENT. INSTALL NEW OC TITLE 24 COOL ROOF SHINGLES SIERRA GRAY CRRC #: 08790-0013. INSTALL NEW 1/2 INCH OSB PLYWOOD ,$9870,Issued,02-10-2025,02-10-2025,02-10-2026,,Modern Roofing Inc. 
"5419 Robinhood Avenue, Temple City, California 91780",8586-023-004,B25-48519,Building,RR Residential Alteration,MAIN HOUSE - TEAR OFF #FELT   RE ROOF 40 YRS SHINGLE (COOL) COLOR: ROLLINGSTONE (OWENS CORNING) ,"$12,000",Issued,02-10-2025,02-10-2025,02-10-2026,,Google Roofing Inc. 
"5419 Robinhood Avenue, Temple City, California 91780",8586-023-004,B25-48520,Building,OT Other,DETACHED GARAGE - TEAR OFF #FELT   RE ROOF 40 YRS SHINGLE (COOL) COLOR: ROLLINGSTONE (OWENS CORNING) ,$3000,Issued,02-10-2025,02-10-2025,02-10-2026,,Google Roofing Inc. 
"4877 Fratus Drive, Temple City, California 91780",8590-030-038,B25-48525,Building,RR Residential Alteration,ADD A NEW BATHROOM TO EXISTING BEDROOM #3,"$20,000",Issued,02-10-2025,02-10-2025,02-10-2026,,Owner-Builder
"9809 Daines Drive, Temple City, California 91780",8588-016-041,B25-48529,Building,RR Residential Alteration,CHANGE ROOF FROM SHINGLE TO LIGHT WEIGHT TILE ,$9000,Issued,02-10-2025,02-10-2025,02-10-2026,,Colossus Energy 
"9635 Las Tunas Drive, Temple City, California 91780",8587-019-035,E24-48010,Electrical,,(19) RECEPTACLES ,$0,Issued,12-02-2024,02-10-2025,02-10-2026,,Express Set Fixtures 
"9655 Woodruff Avenue Unit B , Temple City, California 91780",5385-018-015,E25-48514,Electrical,,"(10) BRANCH CIRCUITS, (20) OUTLETS, (10) LIGHT FIXTURES, ELECTRIC OVEN, ELECTRIC OVEN, GARBAGE DISPOSAL, RANGE HOOD, WASHING MACHINE, EXHAUST FAN, ELECTRICAL WATER HEATER, AC UNIT AND SUB-PANEL 100 AMP FOR A DETACHED ACCESSORY DWELLING UNIT ",$0,Issued,02-10-2025,02-10-2025,02-10-2026,,JP Service dba P Construction CO.
"8919 Garibaldi Avenue Unit A-B , Temple City, California 91780",5384-004-018,E25-48517,Electrical,,INSTALL 400 AMP (2) GANG PANEL,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Owner-Builder
"8927 Garibaldi Avenue Unit A-B , Temple City, California 91780",5384-004-017,E25-48518,Electrical,,INSTALL 400 AMP (2) GANG PANEL,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,
"5237 Temple City Boulevard, Temple City, California 91780",8590-007-035,E25-48521,Electrical,,FOR INSPECTION OF (E) SERVICE PANEL 200 AMP,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Owner-Builder
"4877 Fratus Drive, Temple City, California 91780",8590-030-038,E25-48526,Electrical,,(3) OUTLETS AND (2) LIGHT FIXTURES FOR A NEW BATHROOM ,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Owner-Builder
"9063 Acaso Drive Unit B , Temple City, California 91780",5388-016-005,E25-48548,Electrical,,ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING UNIT WITH A 200 AMP SERVICE PANEL ,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Da Hong Construction Inc. 
"9655 Woodruff Avenue Unit B , Temple City, California 91780",5385-018-015,M25-48515,Mechanical,,INSTALL (2) MINI SPLIT SYSTEM AND VENTILATION FANS FOR A DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,JP Service dba P Construction CO.
"4877 Fratus Drive, Temple City, California 91780",8590-030-038,M25-48527,Mechanical,,INSTALL VENTILATION FAN FOR A NEW BATHROOM ,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Owner-Builder
"9063 Acaso Drive Unit B , Temple City, California 91780",5388-016-005,M25-48549,Mechanical,,INSTALL (2) MINI SPLIT SYSTEMS AND VENTILATION FANS FOR A NEW DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Da Hong Construction Inc. 
"9716 Workman Avenue, Temple City, California 91780",8587-023-015,P25-48480,Plumbing,,SEWER ALTERATION ,$0,Issued,02-04-2025,02-10-2025,02-10-2026,,Owner-Builder
