antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
"building_type=1 to 2 Family, permit_type=Electrical, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.07859681878568095,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_units_group=1",target_input=Res.1&2 or Guest House,0.07730422606010556,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.07726832070661736,1.0,1.4059770811247412,5,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_units_group=1",target_input=Res.1&2 or Guest House,0.07726832070661736,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.07726832070661736,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=New Construction, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.07457541919500198,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=New Construction, total_sf_nonzero=nonzero, total_units_group=1",target_input=Res.1&2 or Guest House,0.07288786758105634,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, valuation_bucket=100000_plus",target_input=Res.1&2 or Guest House,0.07105669455315787,1.0,1.4059770811247412,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Reroof",target_input=Res.1&2 or Guest House,0.07087716778571684,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Reroof",target_input=Res.1&2 or Guest House,0.07087716778571684,1.0,1.4059770811247412,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Reroof, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.07076945172525223,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Reroof, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.07076945172525223,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Reroof, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.06897418405084198,1.0,1.4059770811247412,5,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Reroof, total_units_group=1",target_input=Res.1&2 or Guest House,0.06897418405084198,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Reroof, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.06897418405084198,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Reroof, total_units_group=1",target_input=Res.1&2 or Guest House,0.06897418405084198,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1, valuation_bucket=100000_plus",target_input=Res.1&2 or Guest House,0.06893827869735378,1.0,1.4059770811247412,3,Res.1&2 or Guest House
