antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, total_units_group=1",target_input=Res.1&2 or Guest House,0.10608126533951459,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.105808562857922,1.0,1.3734082397003746,5,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.105808562857922,1.0,1.3734082397003746,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=New Construction, total_sf_nonzero=nonzero",target_input=Res.1&2 or Guest House,0.09544586855740388,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Building",target_input=Res.1&2 or Guest House,0.09408235614944097,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Building, total_units_group=1",target_input=Res.1&2 or Guest House,0.08971911644395963,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Building, total_sf_nonzero=nonzero",target_input=Res.1&2 or Guest House,0.08835560403599672,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=New Construction, total_sf_nonzero=nonzero, total_units_group=1",target_input=Res.1&2 or Guest House,0.08535587673847832,1.0,1.3734082397003746,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Revision - Building",target_input=Res.1&2 or Guest House,0.08481047177529316,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Building, total_sf_nonzero=nonzero, total_units_group=1",target_input=Res.1&2 or Guest House,0.08453776929370058,1.0,1.3734082397003746,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical",target_input=Res.1&2 or Guest House,0.0826288519225525,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical",target_input=Res.1&2 or Guest House,0.0826288519225525,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.08235614944095991,1.0,1.3734082397003746,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.08235614944095991,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.08153804199618217,1.0,1.3734082397003746,5,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_units_group=1",target_input=Res.1&2 or Guest House,0.08153804199618217,1.0,1.3734082397003746,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.08153804199618217,1.0,1.3734082397003746,4,Res.1&2 or Guest House
